playerID,team_id,fullName,posType,position 
8470645,16,Corey Crawford,Goalie,G
8473573,16,Artem Anisimov,Forward,C
8473604,16,Jonathan Toews,Forward,C
8474141,16,Patrick Kane,Forward,RW
8475323,16,Marcus Kruger,Forward,C
8476438,16,Brandon Saad,Forward,LW
8476473,16,Connor Murphy,Defenseman,D
8476886,16,Slater Koekkoek,Defenseman,D
8476979,16,Erik Gustafsson,Defenseman,D
8477401,16,John Hayden,Forward,RW
8477472,16,Carl Dahlstrom,Defenseman,D
8477943,16,Brendan Perlini,Forward,LW
8478055,16,Gustav Forsling,Defenseman,D
8478440,16,Dylan Strome,Forward,C
8479337,16,Alex DeBrincat,Forward,LW
8479465,16,Drake Caggiula,Forward,C
8480144,16,David Kampf,Forward,C
8480946,16,Dominik Kahun,Forward,C
8471242,17,Mike Green,Defenseman,D
8475795,17,Dylan McIlrath,Defenseman,D
8476477,17,Matt Puempel,Forward,LW
8476924,17,Martin Frk,Forward,RW
8477865,17,Jake Chelios,Defenseman,D
8477994,17,Dominic Turgeon,Forward,C
8478036,17,Christoffer Ehn,Forward,C
8478176,17,Joe Hicketts,Defenseman,D
8479425,17,Filip Hronek,Defenseman,D
8480363,17,Kaden Fulcher,Goalie,G
8468509,17,Niklas Kronwall,Defenseman,D
8470110,17,Trevor Daley,Defenseman,D
8470144,17,Frans Nielsen,Forward,C
8470318,17,Jonathan Ericsson,Defenseman,D
8470598,17,Thomas Vanek,Forward,LW
8470657,17,Jimmy Howard,Goalie,G
8471716,17,Justin Abdelkader,Forward,LW
8471794,17,Darren Helm,Forward,LW
8473541,17,Jonathan Bernier,Goalie,G
8474722,17,Luke Witkowski,Forward,RW
8476822,17,Luke Glendening,Forward,C
8476960,17,Andreas Athanasiou,Forward,C
8477215,17,Danny DeKeyser,Defenseman,D
8477455,17,Jacob de la Rose,Forward,C
8477474,17,Madison Bowey,Defenseman,D
8477479,17,Tyler Bertuzzi,Forward,LW
8477511,17,Anthony Mantha,Forward,RW
